File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_mouse.h,303,70,23,0,31,16,202,1351,25,156
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_mutex.h,252,42,25,0,41,1,169,807,20,142
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_name.h,34,7,0,0,6,1,21,150,20,142
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_opengl.h,2184,1552,524,0,436,34,196,881,31,187
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_opengles.h,40,11,0,0,4,0,25,162,25,162
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_opengles2.h,53,19,0,0,8,2,26,173,25,162
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_opengles2_gl2.h,622,470,160,0,66,2,86,224,0,0
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_opengles2_gl2ext.h,2051,1427,324,0,273,5,351,938,0,0
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_opengles2_gl2platform.h,31,9,0,0,8,1,14,106,0,0
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_opengles2_khrplatform.h,283,99,41,0,28,2,156,871,0,0
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_opengl_glext.h,11178,10626,4634,0,509,503,43,1328,0,0
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_pixels.h,471,305,60,0,43,9,123,714,25,156
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_platform.h,199,141,2,0,18,8,40,295,25,158
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_power.h,76,21,4,0,11,6,44,327,20,142
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_quit.h,59,7,0,0,8,1,44,303,25,156
